"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","Verify banned numbers are displayed in the table","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.banned.BannedNumbersTest","Test","ui.configuration.security.banned.BannedNumbersTest","verifyNumber"
"","4788","Destination IP Based Alerts UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.visibility.alerts.alertfilters.AlertFilterPagesTest","Test","smoke.visibility.alerts.alertfilters.AlertFilterPagesTest","destinationIPBasedAlertsUiPageLoadValidation"
"","44","Verify TDoS toggle can be enabled","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.dos.TDosTest","Test","ui.configuration.security.monitors.dos.TDosTest","shouldEnableTDos"
"","3228","Call Cost Auto Upload UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.services.callcostrating.CallCostRatingPagesTest","Test","smoke.configuration.services.callcostrating.CallCostRatingPagesTest","callCostAutoUploadUiPageLoadValidation"
"","4277","Verify maximum valid UC Application Security values can be applied successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.UCApplicationSecurityTest","Test","ui.configuration.security.UCApplicationSecurityTest","applyMaximumValues"
"","2369","Verify War Dialing originating type can be updated successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.WarDialingTest","Test","ui.configuration.security.monitors.WarDialingTest","shouldUpdateOriginatingType"
"","2307","Verify cancelling malicious user agent creation does not save the entry","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.endDevices.MaliciousUserAgentTest","Test","ui.configuration.security.endDevices.MaliciousUserAgentTest","cancelAdd"
"","1569","Verify session limit persists after page refresh","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.spit.SimultaneousSessionAlertTest","Test","ui.configuration.security.monitors.spit.SimultaneousSessionAlertTest","shouldPersistSessionLimitAfterRefresh"
"","5356","Verify minimum valid UC Application Security values can be applied successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.UCApplicationSecurityTest","Test","ui.configuration.security.UCApplicationSecurityTest","applyBoundaryValues"
"","2265","Call Groups Chart UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.visibility.calls.CallPagesTest","Test","smoke.visibility.calls.CallPagesTest","callGroupsChartUiPageLoadValidation"
"","5860","Network Groups UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.groups.GroupPagesTest","Test","smoke.configuration.groups.GroupPagesTest","networkUiPageLoadValidation"
"","1828","Verify user can add a default user agent successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.endDevices.DefaultUserAgentTest","Test","ui.configuration.security.endDevices.DefaultUserAgentTest","addUserAgent"
"","2747","Verify user can add a TDoS tracking rule","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.dos.TDosTest","Test","ui.configuration.security.monitors.dos.TDosTest","shouldAddTDosRule"
"","1224","Verify Flood Monitor configuration persists after refresh using alternative threshold values","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.dos.FloodMonitorTest","Test","ui.configuration.security.monitors.dos.FloodMonitorTest","shouldUpdateFloodMonitorUsingAlternativeValues"
"","956","Verify cancelling SQL Injection configuration restores previous values","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.SQLInjectionTest","Test","ui.configuration.security.monitors.SQLInjectionTest","shouldCancelConfiguration"
"","1158","Verify allowed codec can be deleted successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.codecs.AllowedCodecsTest","Test","ui.configuration.security.codecs.AllowedCodecsTest","deleteStaticPayloadCodec"
"","1501","Message Integrity UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.security.enddevices.EndDevicePagesTest","Test","smoke.configuration.security.enddevices.EndDevicePagesTest","messageIntegrityUiPageLoadValidation"
"","1534","Verify static payload blacklist codec can be added successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.codecs.BlackListedCodecsTest","Test","ui.configuration.security.codecs.BlackListedCodecsTest","addStaticPayloadCodec"
"","42","Verify PAssert Rate Monitoring graph is displayed on the dashboard","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.dos.PAssertRateMonitorTest","Test","ui.configuration.security.monitors.dos.PAssertRateMonitorTest","shouldDisplayMonitoringGraph"
"","2203","Verify duplicate allowed codec validation message is displayed","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.codecs.AllowedCodecsTest","Test","ui.configuration.security.codecs.AllowedCodecsTest","duplicateAllowedCodec"
"","2263","Verify cancelled allowed codec is not saved","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.codecs.AllowedCodecsTest","Test","ui.configuration.security.codecs.AllowedCodecsTest","cancelAddCodec"
